# 
# 01/18/2023 14:03:20
# The parameters defined in the project are:
# ,P1 - Group1 [in],P2 - Group2 [in],P3 - Group3 [m],P4 - Group4 [m],P5 - parameter-1 [J m^-2 s^-1],P6 - wall_0_t [K],P7 - wall_1i_t [K],P8 - wall_1o_t [K],P9 - wall_2i_t [K],P10 - wall_2o_t [K],P11 - wall_3i_t [K],P12 - wall_3o_t [K],P13 - wall_4i_t [K],P14 - wall_4o_t [K],P15 - wall_5i_t [K],P16 - wall_5o_t [K],P17 - wall_6i_t [K],P18 - wall_6o_t [K],P19 - wall_7i_t [K],P20 - wall_7o_t [K],P21 - wall_8i_t [K],P22 - wall_8o_t [K]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22
DP 0,2,4.0000000000000009,0.0508,0.10160000000000002,2786.85,327.58881,326.18289,329.53858,326.89293,327.34948,328.3307,325.05755,325.92104,325.38381,326.01391,328.13513,327.08495,325.42036,326.00955,325.10609,325.60959,326.25773
DP 1,2.1261,3.4785,0.05400294,0.0883539,2786.85,327.7099,326.38259,329.48143,327.04577,327.26161,328.31323,324.99223,325.74098,326.65075,325.77048,327.16704,326.98736,326.37343,326.07585,324.94672,325.61956,326.14694
DP 2,2.2055,4.6568,0.056019699999999992,0.11828271999999998,2786.85,327.55007,326.68401,329.07558,326.86733,327.38224,328.55948,324.89364,325.86191,325.41117,325.9751,327.98622,327.08667,325.35904,326.02351,324.88785,325.5572,326.13557
DP 3,1.6744,4.6916,0.04252976,0.11916664,2786.85,329.26091,323.4856,329.38587,323.90283,327.23922,323.96522,324.81179,326.06915,324.95748,326.25851,332.11813,324.23322,324.88542,324.1797,324.78022,323.97623,326.10304
DP 4,2.2837,4.6096,0.05800598,0.11708384000000001,2786.85,327.60756,326.35367,329.27097,326.95316,327.39873,329.41044,324.88224,325.87847,325.33014,325.99958,327.73931,327.13953,325.48248,326.00327,324.89345,325.68632,326.09495
DP 5,1.6764,3.5084,0.042580559999999996,0.089113359999999989,2786.85,329.12701,323.00061,330.48853,323.96766,327.25884,323.79764,324.89095,325.78336,325.14103,325.83249,330.79651,324.49121,324.93992,324.50973,324.88223,324.01415,326.10547
DP 6,1.6539,3.3172,0.042009059999999994,0.08425688,2786.85,329.59236,322.62561,330.56887,323.31649,327.31241,323.18806,324.86034,325.75552,325.25477,325.75863,330.52307,324.18491,325.21204,324.05107,324.76767,323.69659,325.97161
DP 7,2.1614,4.3227,0.05489956,0.10979658,2786.85,327.5222,326.52031,329.42033,326.96911,327.48971,328.91821,325.02454,325.97952,325.52662,325.99792,327.90327,327.07262,325.60836,326.07496,325.05343,325.7131,326.16084
DP 8,2.048,3.6881,0.0520192,0.09367774,2786.85,327.66823,326.24464,329.63087,327.1197,327.3303,328.42995,325.08479,325.90706,325.87878,325.83761,327.66585,326.78086,325.74407,326.09677,325.03851,325.66259,326.14972
DP 9,1.7741,3.3765,0.04506214,0.0857631,2786.85,328.25914,324.93,330.19097,325.63389,327.34426,326.43048,324.81563,325.92227,325.37029,325.88987,328.7012,325.84947,325.52384,325.2331,324.79576,324.84108,326.05199
DP 10,2.3395,3.5364,0.0594233,0.08982456,2786.85,327.92252,326.00993,328.60398,326.77074,327.33498,329.44175,325.06085,325.7524,327.63784,325.66974,327.19835,326.86976,327.69296,325.72066,324.92522,325.57062,326.11832
DP 11,1.8371,4.3723,0.04666234,0.11105642,2786.85,327.69139,325.62897,329.78369,326.17093,327.44725,328.14896,325.10901,326.32343,325.33447,326.25173,329.53243,326.75305,325.43234,325.77728,325.07875,325.49125,326.20764
DP 12,2.3371,3.3634,0.05936234,0.08543036,2786.85,327.7506,325.54591,327.97667,328.99856,327.48318,328.60815,324.94822,325.67448,326.4874,325.71476,327.2763,326.98546,326.74802,326.878,325.03331,325.33809,326.28432
DP 13,2.3191,4.0341,0.05890514,0.10246613999999998,2786.85,327.7747,326.22367,329.25774,327.05084,327.32098,328.45903,325.02948,325.81138,326.05464,326.02293,327.5201,326.78778,325.92986,325.97126,325.06754,325.68881,326.18176
DP 14,2.0953,4.6186,0.053220619999999996,0.11731243999999999,2786.85,327.63585,326.30116,329.01032,326.97376,327.35964,328.98831,325.21988,326.19885,325.57757,326.08301,328.26827,327.04754,325.44477,326.10821,325.06752,325.87253,326.22324
DP 15,2.1191,4.2932,0.05382514,0.10904727999999998,2786.85,327.78568,326.32847,329.43248,327.26589,327.17471,329.17046,324.9706,325.96129,325.35312,325.94455,327.92985,327.17769,325.42365,325.92311,324.99419,325.64143,326.20936
DP 16,2.0343,4.5279,0.05167122,0.11500865999999998,2786.85,327.56696,326.26268,329.30142,326.9363,327.34104,328.82356,324.89352,326.04609,325.46196,326.18591,328.36395,326.90295,325.30091,325.86181,324.90963,325.66151,326.08531
DP 17,1.6921,4.6794,0.04297934,0.11885676,2786.85,329.67261,323.72009,329.27928,323.96788,327.36199,323.61209,324.93561,326.33564,325.06337,326.25616,331.16838,324.56146,325.06082,324.3802,324.8571,324.16062,326.19195
DP 18,1.7477,3.948,0.04439158,0.1002792,2786.85,328.23112,324.63924,329.69575,324.90754,327.32003,325.29813,325.04217,326.24696,324.99749,326.19237,329.935,325.5284,325.10914,325.09014,324.96999,324.77714,326.10226
DP 19,1.8112,3.7419,0.046004479999999993,0.095044259999999992,2786.85,327.89437,325.30737,330.15889,326.17899,327.38405,327.53572,324.80981,326.04091,325.18825,325.83212,328.7615,326.18493,325.1253,325.48654,324.83354,325.11637,326.03525
